GameCount,Winner,TotalTurns,EndDay,EndWave,P1_AcquiredItems,P2_AcquiredItems,P1_UsedItems,P2_UsedItems,P1_EndInventory,P2_EndInventory,P1_Upgrades,P2_Upgrades
1,2,24,5,1,"1002;2001;1005;1000;4004;3002","1005;2000;2001;2001;4004","1002;1000;2001;1005;4004;3002","2000;1005;2001;4004","","2001","D1_Mine;D1_Barrier;D2_Mine;D2_Forge;D2_Barrier;D2_Farm;D3_Forge;D3_Mine;D3_Barrier;D4_Barrier;D4_Forge;D4_Farm","D1_Mine;D1_Barrier;D2_Forge;D2_Mine;D2_Forge;D2_Farm;D3_Mine;D3_Barrier;D3_Barrier;D4_Barrier;D4_Forge;D4_Farm"
2,2,24,5,1,"1002;4003;4003;1006;1005;4003;2000;2001;4003;4007;3000","4008;1005;1005;1002;3002;4008;2000","1002;1006;1005;2000;4003;2001;4003;4007","1005;1002;1005;2000","4003;4003;3000","4008;3002;4008","D1_Mine;D1_Barrier;D2_Forge;D2_Mine;D2_Barrier;D2_Farm;D3_Farm;D3_Forge;D3_Mine;D4_Mine;D4_Barrier","D1_Mine;D1_Barrier;D2_Forge;D2_Mine;D2_Barrier;D2_Farm;D3_Forge;D3_Forge;D3_Farm;D4_Mine;D4_Mine"
3,1,25,5,1,"1000;4007;1002;1005;2003;1000;2003;2000;1005","1000;2002;1005;1005;1005;2000;1005;2000","1000;1002;1005;1000;4007;2000;1005","1000;1005;2000;1005;2000;1005;1005","2003;2003","2002","D1_Mine;D1_Barrier;D2_Forge;D2_Mine;D2_Barrier;D2_Farm;D3_Barrier;D3_Mine;D3_Forge;D4_Barrier;D4_Forge;D4_Farm","D1_Mine;D1_Barrier;D2_Mine;D2_Forge;D2_Barrier;D2_Farm;D3_Forge;D3_Mine;D3_Barrier;D4_Barrier;D4_Farm;D4_Farm"
4,2,24,5,1,"1005;1000;1005;1000;3000;4004","2000;1000;1002;2001;1005;1005;2001;2000;2000","1005;1000;1005;1000;3000;4004","2000;1000;1002;1005;2000;2001;2000","","1005;2001","D1_Mine;D1_Barrier;D2_Mine;D2_Forge;D2_Barrier;D2_Farm;D3_Forge;D3_Mine;D3_Barrier;D4_Barrier;D4_Forge;D4_Farm","D1_Mine;D1_Barrier;D2_Mine;D2_Forge;D2_Barrier;D2_Farm;D3_Forge;D3_Mine;D3_Barrier;D4_Barrier"
5,1,25,5,1,"1002;2001;2001;1005;1005;1005;2001;2001;2003","4008;1004;1002;1005;2000;2000;2000;1004","1002;1005;1005;2001;2001;2001","1002;1005;2000;2000;2000;1004;1004;4008","1005;2001;2003","","D1_Mine;D1_Barrier;D2_Mine;D2_Forge;D2_Barrier;D2_Farm;D3_Forge;D3_Mine;D3_Barrier","D1_Mine;D1_Barrier;D2_Mine;D2_Forge;D2_Barrier;D2_Farm;D3_Barrier;D3_Mine;D3_Forge;D4_Mine;D4_Forge"
6,2,26,5,2,"1006;1005;2000;2000;2000;1006;1006;3002;2001;1000","1005;1005;2001;1005;2003;1005;1005","1006;2000;2000;2000;1005;1006;1006;3002;2001;1000","1005;2001;1005;1005;1005;1005","","2003","D1_Mine;D1_Barrier;D2_Mine;D2_Forge;D2_Forge;D3_Mine;D3_Farm;D3_Barrier;D3_Farm;D4_Mine;D4_Barrier;D4_Forge","D1_Mine;D1_Barrier;D2_Forge;D2_Mine;D2_Barrier;D2_Farm;D3_Forge;D3_Farm;D3_Mine;D4_Barrier;D4_Barrier;D4_Farm"
7,1,25,5,1,"1007;1000;1005;2000;4005;2000","2000;1000;4005;1002;4005;4005;2000;2001;1000;2000;2000","1000;1005;2000;1007;2000","2000;1000;1002;2000;1000;2001;2000;2000","4005","4005;4005;4005","D1_Mine;D1_Barrier;D2_Mine;D2_Forge;D2_Barrier;D2_Farm;D3_Barrier;D3_Forge;D3_Mine;D4_Barrier;D4_Forge;D4_Farm","D1_Mine;D1_Barrier;D2_Mine;D3_Mine;D3_Forge;D3_Forge;D3_Barrier;D3_Barrier;D3_Farm;D4_Barrier;D4_Farm;D4_Farm"
8,2,24,5,1,"1002;1000;1007;1000;2000;4008;1000;2001;2003","4008;1006;2001;2001;1005;2001;1000;1000","1002;1000;1000;1007;2000;1000;2001;2003","1006;1005;2001;2001;2001","4008","4008;1000;1000","D1_Mine;D1_Barrier;D2_Forge;D2_Mine;D2_Forge;D2_Farm;D4_Mine;D4_Mine;D4_Barrier;D4_Barrier;D4_Farm","D1_Mine;D1_Barrier;D2_Forge;D2_Mine;D2_Barrier;D2_Farm;D3_Forge;D3_Mine;D3_Barrier;D4_Barrier"
9,1,23,4,3,"1000;2001;2000;1000;2000;4005","1000;1002;4003;3002;1000;1005;2001;2001;1000","1000;2001;2000;1000;2000;4005","1000;1002;4003;3002;1000;1005;2001;2001","","1000","D1_Mine;D1_Barrier;D2_Forge;D2_Mine;D2_Barrier;D2_Farm;D3_Barrier;D3_Mine;D3_Forge","D1_Mine;D1_Barrier;D2_Barrier;D2_Mine;D2_Forge;D2_Farm;D3_Barrier;D3_Forge;D3_Mine"
10,2,24,5,1,"1006;1002;4008;4008;1000;2000;1000;1005;2000;1006;2000","1000;2001;1005;1005;2000","1006;1002;1000;2000;1000;1005;2000;2000","1000;2000;1005;1005","4008;4008;1006","2001","D1_Mine;D1_Barrier;D2_Forge;D3_Mine;D3_Mine;D3_Barrier;D3_Forge;D3_Farm;D4_Mine;D4_Barrier;D4_Farm","D1_Mine;D1_Barrier;D2_Forge;D2_Mine;D2_Barrier;D2_Farm;D3_Forge;D3_Mine;D3_Barrier;D4_Barrier;D4_Forge;D4_Farm"
