GameCount,Winner,TotalTurns,EndDay,EndWave,P1_AcquiredItems,P2_AcquiredItems,P1_UsedItems,P2_UsedItems,P1_EndInventory,P2_EndInventory,P1_Upgrades,P2_Upgrades
1,2,18,3,0,"1006;4001;4001;2001;1005;1000;4000;4001;1006","1000;1000;2000;2000;1000;1000;2000;2000;3000","1006;2001;1000;1005;1006","1000;1000;2000;2000;1000;1000;2000;2000;3000","4001;4001;4000;4001","","Mine;Barrier;Forge;Mine;Barrier;Farm","Mine;Barrier;Mine;Forge;Barrier;Farm"
2,1,22,4,3,"4003;1002;1002;1005;1005;4004;1006;4005;3000;4005;1001","2001;4004;4003;1000;4003;2001;1001;2000;2000;4003","4003;1002;1002;1005;4004;1005;1006;3000","2001;1000;4003;2001;4004;2000;2000;4003","4005;4005;1001","1001;4003","Mine;Barrier;Mine;Barrier;Forge;Farm;Forge;Forge;Farm","Mine;Barrier;Barrier;Mine;Forge;Farm;Forge;Mine;Barrier"
3,-1,18,3,0,"1005;1000;1000;2002;1007;2001;2000;1002;2000","1002;4004;1000;4007;4000;2000;2000;2000;4000","1000;1000;2000;1005","1002;1000;4004;2000;2000;2000;4007","2002;1007;2001;1002;2000","4000;4000","Mine;Barrier;Mine;Barrier;Forge;Farm","Mine;Barrier;Forge;Mine;Barrier;Farm"
4,1,18,3,0,"4003;4005;2000;4005;4003;2001;1000;4008;4005","4000;2000;1000;4003;1006;2000;1000;1002;4005","4003;2000;4003;1000;2001","4000;2000;1000;4003;2000;1000;1006;1002","4005;4005;4008;4005","4005","Mine;Barrier;Mine;Forge;Barrier;Farm","Mine;Barrier;Mine;Barrier;Forge;Farm"
5,1,18,3,0,"2001;4003;4005;4005;2001;1002;2001;4005;4001","4000;1006;1000;1004;3002;1002;3000;2002;4004","2001;4003;2001;1002","4000;1000;1006;1004;1002;3002","4005;4005;2001;4005;4001","3000;2002;4004","Mine;Barrier;Forge;Mine;Barrier;Farm","Mine;Barrier;Mine;Barrier;Forge;Farm"
6,2,18,3,0,"4004;4004;4004;4000;4000;4004;2000;4000;4004","1005;2001;4000;4004;4004;2001;1000;4000;4005","4004;2000;4004;4004","2001;2001;1005;1000","4000;4000;4004;4000;4004","4000;4004;4004;4000;4005","Mine;Barrier;Mine;Forge;Barrier;Farm","Mine;Barrier;Mine;Barrier;Forge;Farm"
7,2,18,3,0,"1005;4003;4000;1003;4000;4004;2000;2000;4003","1000;2000;1006;4001;2001;1004;1003;1005","2000;2000;1005","1000;2000;1006;2001;1005","4003;4000;1003;4000;4004;4003","4001;1004;1003","Mine;Barrier;Mine;Barrier;Forge;Farm","Mine;Barrier;Mine;Forge;Barrier;Farm"
8,-1,24,4,0,"4000;2001;4005;4005;1003;4005;2002;4000;4005;3002;4005;4001","2000;4003;3002;4000;2001;1003;1005;4000;2001;1003;2000;4000","4000;2001;2002;4005;3002;4005;1003","2000;4003;3002;4000;1005;2001;2001;2000","4005;4000;4005;4005;4001","1003;4000;1003;4000","Mine;Barrier;Mine;Barrier;Forge;Farm;Barrier;Mine;Forge","Mine;Barrier;Mine;Forge;Barrier;Farm;Mine;Barrier;Forge"
9,-1,18,3,0,"2001;1004;1004;4000;4000;1003;2000;2000","4000;1005;4008;4005;3002;1001;4004;1001;3002","2001;1004;1004;2000;2000","4000;4005;1005;4004","4000;4000;1003","4008;3002;1001;1001;3002","Mine;Barrier;Barrier;Mine;Forge;Farm","Mine;Barrier;Mine;Barrier;Forge;Farm"
10,1,18,3,0,"4005;1000;4005;1005;2000;2001;1000;1000;1003","4000;4003;1003;1003;1000;1005;1005;2000","1000;2000;1000;1000;1005","4000;4003;1000;1005;2000","4005;4005;2001;1003","1003;1003;1005","Mine;Barrier;Mine;Forge;Barrier;Farm","Mine;Barrier;Mine;Barrier;Forge;Farm"
